"","photoid","url","w1","w2","w3","w4","w5","w6","w7","w8","w9","w10","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10"
"40","26432228932","https://farm2.staticflickr.com/1552/26432228932_c4400a6937_z.jpg","sky","nature","atmosphere","sunset","cloud","afterglow","evening","tree","sunrise","leaf",0.97711277,0.95476055,0.90004337,0.88991565,0.86473966,0.859153,0.83630985,0.82921624,0.8190671,0.79294294,0.97711277,0.95476055,0.90004337,0.88991565,0.86473966,0.859153,0.83630985,0.82921624,0.8190671,0.79294294
"41","7944118682","https://farm9.staticflickr.com/8174/7944118682_2e059ae626_z.jpg","brickwork","wall","brick","road surface","bricklayer","stone wall","line","material",NA,NA,0.9589576,0.946427,0.91012657,0.6958398,0.68927383,0.6813147,0.66837204,0.6489135,NA,NA,0.9589576,0.946427,0.91012657,0.6958398,0.68927383,0.6813147,0.66837204,0.6489135,NA,NA
"42","27001300481","https://farm8.staticflickr.com/7419/27001300481_985acfa187_z.jpg","social group","outdoor recreation","recreation","community","youth","ultramarathon","race","fun","sports","walking",0.9511818,0.83787125,0.82416266,0.82349586,0.81471074,0.7785785,0.77418965,0.76355207,0.7630194,0.688685,0.9511818,0.83787125,0.82416266,0.82349586,0.81471074,0.7785785,0.77418965,0.76355207,0.7630194,0.688685
"43","8274335606","https://farm9.staticflickr.com/8060/8274335606_6bc423cbaf_z.jpg","invertebrate","wildlife","organism","soil","grass","marine biology","grass family",NA,NA,NA,0.8652688,0.73939437,0.72070146,0.66264665,0.558406,0.5343998,0.5037754,NA,NA,NA,0.8652688,0.73939437,0.72070146,0.66264665,0.558406,0.5343998,0.5037754,NA,NA,NA
"44","29779420582","https://farm6.staticflickr.com/5603/29779420582_659c41cca1_z.jpg","bird","accipitriformes","eagle","bird of prey","black and white","fauna","beak","bald eagle","monochrome photography","wildlife",0.97898406,0.9690651,0.9650488,0.95669305,0.94287866,0.92640454,0.91132134,0.8928017,0.83175534,0.82371336,0.97898406,0.9690651,0.9650488,0.95669305,0.94287866,0.92640454,0.91132134,0.8928017,0.83175534,0.82371336
"45","8305630989","https://farm9.staticflickr.com/8079/8305630989_d785d24a83_z.jpg","road","lane","asphalt","highway","controlled access highway","infrastructure","car","structure","race track","road surface",0.99433845,0.96201503,0.9606898,0.9587119,0.91710913,0.90590435,0.87191117,0.85404915,0.85017514,0.8217258,0.99433845,0.96201503,0.9606898,0.9587119,0.91710913,0.90590435,0.87191117,0.85404915,0.85017514,0.8217258
"46","2464844430","https://farm3.staticflickr.com/2175/2464844430_29a2429008_z.jpg?zz=1","invertebrate","marine invertebrates","echinoderm","wildlife","starfish","marine biology","organism","soil",NA,NA,0.92161995,0.87856084,0.8312271,0.8156386,0.77738565,0.7302764,0.7162531,0.6627638,NA,NA,0.92161995,0.87856084,0.8312271,0.8156386,0.77738565,0.7302764,0.7162531,0.6627638,NA,NA
"47","6803037514","https://farm8.staticflickr.com/7195/6803037514_86235970de_z.jpg","tree","plant","branch","flora","trunk","woodland","forest","jungle","plant stem","deciduous",0.9450782,0.91169,0.87692875,0.8571923,0.8082192,0.67822784,0.6146014,0.61141545,0.5599841,0.5477914,0.9450782,0.91169,0.87692875,0.8571923,0.8082192,0.67822784,0.6146014,0.61141545,0.5599841,0.5477914
"48","2766604449","https://farm4.staticflickr.com/3240/2766604449_0cfe0bab28_z.jpg","mammal","public space","furniture","table","chair","play","fun","wood","recreation","outdoor play equipment",0.9240434,0.8627926,0.80055094,0.76444477,0.7122263,0.6975976,0.6663966,0.6613587,0.6361474,0.57447314,0.9240434,0.8627926,0.80055094,0.76444477,0.7122263,0.6975976,0.6663966,0.6613587,0.6361474,0.57447314
"49","3668360066","https://farm4.staticflickr.com/3351/3668360066_dd121e5fcb_z.jpg","invertebrate","close up","terrestrial animal","organism","snail",NA,NA,NA,NA,NA,0.7510237,0.7191137,0.6733092,0.63424337,0.5380444,NA,NA,NA,NA,NA,0.7510237,0.7191137,0.6733092,0.63424337,0.5380444,NA,NA,NA,NA,NA
"50","6093643238","https://farm7.staticflickr.com/6073/6093643238_e0c8357471_z.jpg","glasses","eyewear","sunglasses","girl","vision care","fun",NA,NA,NA,NA,0.8826262,0.8751624,0.7957282,0.79093397,0.7701119,0.6687228,NA,NA,NA,NA,0.8826262,0.8751624,0.7957282,0.79093397,0.7701119,0.6687228,NA,NA,NA,NA
